school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Edna and John W. Mosley P-8,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,994,815,Yes under Community Eligibility Option (CEO),true
Education Reenvisioned School,Education Reenvisioned BOCES,Monument,59,,No,false
Edwards Early Learning Center,Eagle County School District No. Re 50,Edwards,80,50,Yes under Community Eligibility Option (CEO),false
Edwards Elementary School,Eagle County School District No. Re 50,Edwards,269,172,Yes participating without using any Provision or the CEO,false
Eiber Elementary School,Jefferson County School District No. R-1,Lakewood,255,193,Yes under Community Eligibility Option (CEO),false
Eisenhower Elementary School,Boulder Valley School District No. Re2,Boulder,308,69,Yes under Community Eligibility Option (CEO),false
Elaine S. Padilla Elementary School,School District 27J,Brighton,672,324,Yes under Community Eligibility Option (CEO),false
Elbert Elementary School,Elbert School District No. 200,Elbert,141,45,Yes participating without using any Provision or the CEO,false
Elbert Junior-Senior High School,Elbert School District No. 200,Elbert,136,48,Yes participating without using any Provision or the CEO,false
Eldorado Elementary School,Douglas County School District No. Re 1,Highlands Ranch,377,67,Yes participating without using any Provision or the CEO,false
Eldorado K-8 School,Boulder Valley School District No. Re2,Superior,529,80,Yes participating without using any Provision or the CEO,false
Elizabeth High School,Elizabeth School District,Elizabeth,668,151,Yes participating without using any Provision or the CEO,false
Elizabeth Middle School,Elizabeth School District,Elizabeth,386,109,Yes participating without using any Provision or the CEO,false
Elizabeth Running Creek Preschool,Elizabeth School District,Elizabeth,53,,No,false
Elk Creek Elementary,Garfield School District No. Re-2,New Castle,272,125,Yes under Community Eligibility Option (CEO),false
Elk Creek Elementary School,Jefferson County School District No. R-1,Pine,323,70,Yes participating without using any Provision or the CEO,false
Elkhart Elementary School,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,525,516,Yes under Community Eligibility Option (CEO),false
Ellicott Elementary School,Ellicott School District No. 22 in the county of El Paso a,Ellicott,520,299,Yes under Provision 2,false
Ellicott Middle School,Ellicott School District No. 22 in the county of El Paso a,Ellicott,230,134,Yes under Provision 2,true
Ellicott Senior High School,Ellicott School District No. 22 in the county of El Paso a,Ellicott,259,156,Yes under Community Eligibility Option (CEO),false
Ellis Elementary School,School District No. 1 in the county of Denver and State of C,Denver,467,398,Yes under Community Eligibility Option (CEO),false
Elwell Elementary School,Weld County School District No. Re-5J,Johnstown,618,176,Yes under Community Eligibility Option (CEO),false
Emerald Elementary School,Boulder Valley School District No. Re2,Broomfield,383,195,Yes under Community Eligibility Option (CEO),false
Emily Griffith High School,School District No. 1 in the county of Denver and State of C,Denver,311,249,Yes under Community Eligibility Option (CEO),true
Encompass Heights Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,583,65,Yes under Community Eligibility Option (CEO),false
Endeavor Academy,Cherry Creek School District No. 5 in the county of Arapah,Centennial,262,154,Yes under Community Eligibility Option (CEO),false
Englewood Early Childhood Education Center at Maddox,Englewood School District No. 1 in the county of Arapahoe,Englewood,258,119,Yes under Community Eligibility Option (CEO),false
Englewood High School,Englewood School District No. 1 in the county of Arapahoe,Englewood,515,350,Yes under Community Eligibility Option (CEO),true
Englewood Leadership Academy,Englewood School District No. 1 in the county of Arapahoe,Englewood,110,57,Yes under Community Eligibility Option (CEO),false
Englewood Middle School,Englewood School District No. 1 in the county of Arapahoe,Englewood,210,153,Yes under Community Eligibility Option (CEO),true
Erie Elementary School,St. Vrain Valley School District No. Re1J,Erie,486,85,Yes under Community Eligibility Option (CEO),false
Erie High School,St. Vrain Valley School District No. Re1J,Erie,1727,227,Yes participating without using any Provision or the CEO,false
Erie Middle School,St. Vrain Valley School District No. Re1J,Erie,762,118,Yes participating without using any Provision or the CEO,false
Escalante Middle School,Durango School District No. 9-R,Durango,461,197,Yes under Community Eligibility Option (CEO),false
Escalante-Biggs Academy,School District No. 1 in the county of Denver and State of C,Denver,306,260,Yes under Community Eligibility Option (CEO),false
Estes Park High School,Estes Park School District R-3,Estes Park,288,113,Yes under Community Eligibility Option (CEO),false
Estes Park K-5 School,Estes Park School District R-3,Estes Park,431,226,Yes under Community Eligibility Option (CEO),false
Estes Park Middle School,Estes Park School District R-3,Estes Park,163,69,Yes under Community Eligibility Option (CEO),false
Euclid Middle School,Littleton School District No. 6 in the county of Arapahoe,Littleton,631,196,Yes under Community Eligibility Option (CEO),false
Eva R Baca Elementary School,Pueblo School District No. 60 in the county of Pueblo and,Pueblo,250,228,Yes under Community Eligibility Option (CEO),false
Evans Elementary School,El Paso County Colorado School District 49,Colorado Springs,487,297,Yes under Community Eligibility Option (CEO),false
Evergreen High School,Jefferson County School District No. R-1,Evergreen,909,97,Yes participating without using any Provision or the CEO,false
Evergreen Middle School,Jefferson County School District No. R-1,Evergreen,478,60,Yes under Community Eligibility Option (CEO),false
Everitt Middle School,Jefferson County School District No. R-1,Wheat Ridge,456,258,Yes under Community Eligibility Option (CEO),true
Excel Academy,School District No. 1 in the county of Denver and State of C,Denver,227,194,Yes under Community Eligibility Option (CEO),true
Excel Academy Charter School,Jefferson County School District No. R-1,Arvada,445,109,Yes under Community Eligibility Option (CEO),false
Explore PK-8,Mapleton School District No. 1 in the county of Adams & St,Thornton,557,350,Yes under Community Eligibility Option (CEO),true
Explorer Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,470,129,Yes under Community Eligibility Option (CEO),false
Eyestone Elementary School,Poudre School District R-1,Wellington,619,224,Yes under Community Eligibility Option (CEO),false
Fairmount Elementary School,Jefferson County School District No. R-1,Golden,601,47,Yes participating without using any Provision or the CEO,false
Fairview High School,Boulder Valley School District No. Re2,Boulder,1863,270,Yes participating without using any Provision or the CEO,false
Fairview PK-8,Westminster Public Schools,Denver,397,350,Yes under Community Eligibility Option (CEO),false
Falcon Bluffs Middle School,Jefferson County School District No. R-1,Littleton,567,107,Yes under Community Eligibility Option (CEO),false
Falcon Creek Middle School,Cherry Creek School District No. 5 in the county of Arapah,Aurora,701,253,Yes under Community Eligibility Option (CEO),false
Falcon Elementary School of Technology,El Paso County Colorado School District 49,Falcon,318,151,Yes under Community Eligibility Option (CEO),false
Falcon High School,El Paso County Colorado School District 49,Peyton,1172,337,Yes participating without using any Provision or the CEO,false
Falcon Middle School,El Paso County Colorado School District 49,Peyton,866,275,Yes under Community Eligibility Option (CEO),false
Fall River Elementary School,St. Vrain Valley School District No. Re1J,Longmont,520,157,Yes under Community Eligibility Option (CEO),false
Farrell B. Howell Ece-8 School,School District No. 1 in the county of Denver and State of C,Denver,585,520,Yes under Community Eligibility Option (CEO),true
