school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Seaton ES,District of Columbia Public Schools,Washington,390,,Yes under Community Eligibility Option (CEO),false
Sela PCS,Sela PCS,Washington,302,,Yes under Community Eligibility Option (CEO),false
Shepherd ES,District of Columbia Public Schools,Washington,394,,Yes participating without using any Provision or the CEO,false
Shining Stars Montessori Academy PCS,Shining Stars Montessori Academy PCS,Washington,199,,Yes under Community Eligibility Option (CEO),false
Shirley Chisholm ES,District of Columbia Public Schools,Washington,542,,Yes under Community Eligibility Option (CEO),false
Simon ES,District of Columbia Public Schools,Washington,231,,Yes under Community Eligibility Option (CEO),false
Smothers ES,District of Columbia Public Schools,Washington,250,,Yes under Community Eligibility Option (CEO),false
Social Justice PCS,Social Justice PCS,Washington,97,,Yes under Community Eligibility Option (CEO),false
Sousa MS,District of Columbia Public Schools,Washington,223,,Yes under Community Eligibility Option (CEO),true
St. Coletta Special Education PCS,St. Coletta Special Education PCS,Washington,250,,No,false
Stanton ES,District of Columbia Public Schools,Washington,288,,Yes under Community Eligibility Option (CEO),false
Statesmen College Preparatory Academy for Boys PCS,Statesmen College Preparatory Academy for Boys PCS,Washington,311,,Yes under Community Eligibility Option (CEO),false
Stoddert ES,District of Columbia Public Schools,Washington,425,,Yes participating without using any Provision or the CEO,false
Stuart-Hobson MS (Capitol Hill Cluster),District of Columbia Public Schools,Washington,460,,Yes under Community Eligibility Option (CEO),false
Takoma ES,District of Columbia Public Schools,Washington,483,,Yes under Community Eligibility Option (CEO),true
Thaddeus Stevens Early Learning Center,District of Columbia Public Schools,Washington,84,,Yes under Community Eligibility Option (CEO),false
The Children's Guild Dc PCS,The Children's Guild DC PCS,Washington,246,,Yes under Community Eligibility Option (CEO),true
The Seed PCS of Washington Dc,Seed PCS,Washington,245,,Yes under Community Eligibility Option (CEO),false
The Sojourner Truth School PCS,The Sojourner Truth School PCS,Washington,292,,Yes under Community Eligibility Option (CEO),false
Thomas ES,District of Columbia Public Schools,Washington,228,,Yes under Community Eligibility Option (CEO),false
Thomson ES,District of Columbia Public Schools,Washington,259,,Yes under Community Eligibility Option (CEO),false
Thurgood Marshall Academy PCS,Thurgood Marshall Academy PCS,Washington,373,,Yes under Community Eligibility Option (CEO),false
