school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Manson Park School,Rsu 53/Msad 53,Pittsfield,80,58,Yes under Provision 2
Mapleton Elementary School,Rsu 79/Msad 01,Mapleton,228,92,Yes under Provision 2
Maranacook Community High Sch,Rsu 38,Readfield,385,127,Yes under Provision 2
Maranacook Community Middle Sch,Rsu 38,Readfield,290,99,Yes under Provision 2
Marcia Buker School,Richmond Public Schools,Richmond,214,85,Yes under Provision 2
Margaret Chase Smith,Sanford Public Schools,Sanford,396,214,Yes under Community Eligibility Option (CEO)
Margaret Chase Smith Sch - Skowhegan,Rsu 54/Msad 54,Skowhegan,180,136,Yes under Community Eligibility Option (CEO)
Marshwood Great Works School,Rsu 35/Msad 35,South Berwick,287,48,Yes participating without using any Provision or the CEO
Marshwood High School,Rsu 35/Msad 35,South Berwick,659,101,Yes participating without using any Provision or the CEO
Marshwood Middle School,Rsu 35/Msad 35,Eliot,490,98,Yes participating without using any Provision or the CEO
Mary Snow School,Bangor Public Schools,Bangor,266,121,Yes under Community Eligibility Option (CEO)
Massabesic High School,Rsu 57/Msad 57,Waterboro,867,352,Yes under Provision 2
Massabesic Middle School,Rsu 57/Msad 57,East Waterboro,619,273,Yes under Provision 2
Mast Landing School,Rsu 05,Freeport,266,67,Yes under Provision 2
Mattanawcook Academy,Rsu 67,Lincoln,313,137,Yes under Provision 2
Mattanawcook Jr High School,Rsu 67,Lincoln,304,161,Yes under Provision 2
Me Sch of Science & Mathematics,ME Sch of Science & Mathematics,Limestone,96,13,Yes participating without using any Provision or the CEO
Medomak Middle School,Rsu 40/Msad 40,Waldoboro,259,156,Yes participating without using any Provision or the CEO
