school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
City Neighbors High,Baltimore City Public Schools,Baltimore,416,294,Yes under Community Eligibility Option (CEO)
City Springs Elementary/Middle,Baltimore City Public Schools,Baltimore,483,426,Yes under Community Eligibility Option (CEO)
Claremont School,Baltimore City Public Schools,Baltimore,46,38,Yes under Community Eligibility Option (CEO)
Clarksburg Elementary,Montgomery County Public Schools,Clarksburg,365,128,Yes participating without using any Provision or the CEO
Clarksburg High,Montgomery County Public Schools,Clarksburg,2241,826,Yes participating without using any Provision or the CEO
Clarksville Elementary,Howard County Public Schools,Clarksville,543,96,Yes participating without using any Provision or the CEO
Clarksville Middle,Howard County Public Schools,Clarksville,679,45,Yes participating without using any Provision or the CEO
Clay Hill Public Charter School,Baltimore City Public Schools,Baltimore,335,202,Yes under Community Eligibility Option (CEO)
Clear Spring Elementary,Washington County Public Schools,Clear Spring,398,185,Yes participating without using any Provision or the CEO
Clear Spring High,Washington County Public Schools,Clear Spring,478,208,Yes participating without using any Provision or the CEO
Clear Spring Middle,Washington County Public Schools,Clear Spring,301,157,Yes participating without using any Provision or the CEO
Clearspring Elementary,Montgomery County Public Schools,Damascus,541,229,Yes participating without using any Provision or the CEO
Clemens Crossing Elementary,Howard County Public Schools,Columbia,481,114,Yes participating without using any Provision or the CEO
Clinton Grove Elementary,Prince George's County Public Schools,Clinton,295,259,Yes under Community Eligibility Option (CEO)
Clopper Mill Elementary,Montgomery County Public Schools,Germantown,458,279,Yes under Community Eligibility Option (CEO)
Cloverly Elementary,Montgomery County Public Schools,Silver Spring,429,161,Yes participating without using any Provision or the CEO
Cockeysville Middle,Baltimore County Public Schools,Cockeysville,928,393,Yes under Community Eligibility Option (CEO)
Col. Zadok Magruder High,Montgomery County Public Schools,Rockville,1671,805,Yes participating without using any Provision or the CEO
Cold Spring Elementary,Montgomery County Public Schools,Potomac,362,28,Yes participating without using any Provision or the CEO
Colgate Elementary,Baltimore County Public Schools,Baltimore,533,356,Yes under Community Eligibility Option (CEO)
Colin L Powell Academy,Prince George's County Public Schools,Fort Washington,1661,1096,Yes participating without using any Provision or the CEO
College Gardens Elementary,Montgomery County Public Schools,Rockville,506,219,Yes participating without using any Provision or the CEO
College Park Academy,Prince George's County Public Schools,Riverdale,682,363,Yes participating without using any Provision or the CEO
Collington Square Elementary/Middle,Baltimore City Public Schools,Baltimore,230,206,Yes under Community Eligibility Option (CEO)
