school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Campbell Ridge Elementary,Campbell County,Alexandria,661,282,Yes under Community Eligibility Option (CEO),false
Campbellsburg Elementary School,Henry County,Campbellsburg,331,158,Yes under Community Eligibility Option (CEO),false
Campbellsville Eagle Academy,Campbellsville Independent,Campbellsville,11,8,Yes under Community Eligibility Option (CEO),true
Campbellsville Elementary School,Campbellsville Independent,Campbellsville,695,479,Yes under Community Eligibility Option (CEO),false
Campbellsville High School,Campbellsville Independent,Campbellsville,370,235,Yes under Community Eligibility Option (CEO),true
Campbellsville Middle School,Campbellsville Independent,Campbellsville,284,172,Yes under Community Eligibility Option (CEO),true
Campton Elementary School,Wolfe County,Campton,315,274,Yes under Community Eligibility Option (CEO),false
Cane Ridge Elementary School,Bourbon County,Paris,453,254,Yes under Community Eligibility Option (CEO),false
Cane Run Elementary,Jefferson County,Louisville,401,333,Yes under Community Eligibility Option (CEO),false
Caneyville Elementary School,Grayson County,Caneyville,378,268,Yes under Community Eligibility Option (CEO),false
Cannonsburg Elementary School,Boyd County,Ashland,272,181,Yes under Community Eligibility Option (CEO),false
Cardinal Valley Elementary School,Fayette County,Lexington,643,421,Yes under Community Eligibility Option (CEO),false
Cardinal Virtual Academy,Clark County,Winchester,212,128,Yes under Community Eligibility Option (CEO),false
Carlisle County Elementary School,Carlisle County,Bardwell,395,235,Yes under Community Eligibility Option (CEO),false
Carlisle County High School,Carlisle County,Bardwell,184,100,Yes under Community Eligibility Option (CEO),true
Carlisle County Middle School,Carlisle County,Bardwell,159,90,Yes under Community Eligibility Option (CEO),true
Carr Creek Elementary School,Knott County,Littcarr,369,272,Yes under Community Eligibility Option (CEO),true
Carrithers Middle,Jefferson County,Louisville,545,348,Yes under Community Eligibility Option (CEO),true
Carroll Co Childhood Development Center,Carroll County,Carrollton,171,126,Yes under Community Eligibility Option (CEO),false
Carroll County High School,Carroll County,Carrollton,578,295,Yes under Community Eligibility Option (CEO),true
Carroll County Middle School,Carroll County,Carrollton,555,313,Yes under Community Eligibility Option (CEO),true
Carter City Elementary School,Carter County,Grayson,117,73,Yes under Community Eligibility Option (CEO),false
Carter G. Woodson Academy,Fayette County,Lexington,316,191,Yes under Community Eligibility Option (CEO),true
Carter Traditional Elementary,Jefferson County,Louisville,471,351,Yes under Community Eligibility Option (CEO),false
Carter Virtual Academy,Carter County,Olive Hill,47,36,Yes under Community Eligibility Option (CEO),true
Cartmell Elementary,Carroll County,Carrollton,436,271,Yes under Community Eligibility Option (CEO),false
Casey County High School,Casey County,Liberty,630,411,Yes under Community Eligibility Option (CEO),true
Casey County Middle School,Casey County,Liberty,497,363,Yes under Community Eligibility Option (CEO),true
Cassidy Elementary School,Fayette County,Lexington,632,200,Yes participating without using any Provision or the CEO,false
Catlettsburg Elementary School,Boyd County,Catlettsburg,184,130,Yes under Community Eligibility Option (CEO),false
Caverna Elementary School,Caverna Independent,Cave City,330,251,Yes under Community Eligibility Option (CEO),false
Caverna High School,Caverna Independent,Horse Cave,209,155,Yes under Community Eligibility Option (CEO),true
Caverna Middle School,Caverna Independent,Horse Cave,115,78,Yes under Community Eligibility Option (CEO),true
Cawood Elementary School,Harlan County,Cawood,209,181,Yes under Community Eligibility Option (CEO),true
Cecilia Valley Elementary School,Hardin County,Cecilia,490,240,Yes under Community Eligibility Option (CEO),false
Cedar Grove Elementary,Bullitt County,Shepherdsville,441,257,Yes under Community Eligibility Option (CEO),false
Centerfield Elementary School,Oldham County,Crestwood,519,174,Yes under Community Eligibility Option (CEO),false
Central City Elementary,Muhlenberg County,Central City,406,300,Yes under Community Eligibility Option (CEO),false
Central Elementary School,Knox County,Barbourville,313,270,Yes under Community Eligibility Option (CEO),false
Central Elementary School,Marshall County,Benton,480,244,Yes under Community Eligibility Option (CEO),false
Central Elementary School,Johnson County,Paintsville,341,263,Yes under Community Eligibility Option (CEO),false
Central Hardin High School,Hardin County,Cecilia,1831,712,Yes under Community Eligibility Option (CEO),true
Central High Magnet Career Academy,Jefferson County,Louisville,1256,847,Yes under Community Eligibility Option (CEO),true
Chancey Elementary,Jefferson County,Louisville,510,309,Yes under Community Eligibility Option (CEO),false
Chandlers Elementary School,Logan County,Russellville,454,252,Yes under Community Eligibility Option (CEO),true
Charles H. Kelly Elementary School,Boone County,Burlington,242,100,Yes under Community Eligibility Option (CEO),false
Charles Russell Elementary School,Ashland Independent,Ashland,202,140,Yes under Community Eligibility Option (CEO),false
Charles Straub Elementary School,Mason County,Maysville,653,467,Yes under Community Eligibility Option (CEO),false
Chenoweth Elementary,Jefferson County,Louisville,569,328,Yes under Community Eligibility Option (CEO),false
Chester Goodridge Elementary School,Boone County,Hebron,711,318,Yes under Community Eligibility Option (CEO),false
Childrens Crisis Stabilization Unit,Bowling Green Independent,Bowling Green,12,12,Yes under Community Eligibility Option (CEO),false
Choices Educational Center,Paducah Independent,Paducah,42,35,Yes under Community Eligibility Option (CEO),true
Christian County Day Treatment,Christian County,Hopkinsville,12,12,Yes under Community Eligibility Option (CEO),true
Christian County High School,Christian County,Hopkinsville,1153,751,Yes under Community Eligibility Option (CEO),true
Christian County Home/Hospital,Christian County,Hopkinsville,51,33,Yes under Community Eligibility Option (CEO),true
Christian County Middle School,Christian County,Hopkinsville,845,587,Yes under Community Eligibility Option (CEO),true
Christian County Public Schools Vla,Christian County,Hopkinsville,283,204,Yes under Community Eligibility Option (CEO),false
Churchill Park School,Jefferson County,Louisville,74,42,Yes under Community Eligibility Option (CEO),true
